127.0.0.1, 2018-04-30 18:17:13, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.001669
127.0.0.1, 2018-04-30 18:17:16, POST, /admin/default/index, HTTP/1.1, 303, 0.010777
127.0.0.1, 2018-04-30 18:17:16, GET, /admin/default/site, HTTP/1.1, 200, 0.045893
127.0.0.1, 2018-04-30 18:17:16, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.002258
127.0.0.1, 2018-04-30 18:17:16, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.001561
127.0.0.1, 2018-04-30 18:17:16, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001862
127.0.0.1, 2018-04-30 18:17:17, POST, /admin/default/check_version, HTTP/1.1, 200, 0.203594
127.0.0.1, 2018-04-30 18:17:48, POST, /admin/default/site, HTTP/1.1, 200, 0.057678
127.0.0.1, 2018-04-30 18:18:09, POST, /admin/default/site, HTTP/1.1, 303, 0.162569
127.0.0.1, 2018-04-30 18:18:09, GET, /admin/default/site, HTTP/1.1, 200, 0.024780
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/default/index, HTTP/1.1, 200, 0.072525
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/css/custom.css, HTTP/1.1, 200, 0.001627
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/css/calendar.css, HTTP/1.1, 200, 0.002486
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/css/stupid.css, HTTP/1.1, 200, 0.003369
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/css/web2py.css, HTTP/1.1, 200, 0.002562
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/css/myapp.css, HTTP/1.1, 200, 0.004386
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002655
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/js/web2py.js, HTTP/1.1, 200, 0.002238
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/js/calendar.js, HTTP/1.1, 200, 0.004717
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/js/marked.min.js, HTTP/1.1, 200, 0.001871
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/js/jquery.js, HTTP/1.1, 200, 0.002959
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/js/vue.min.js, HTTP/1.1, 200, 0.001777
127.0.0.1, 2018-04-30 18:18:12, GET, /yabba/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000455
127.0.0.1, 2018-04-30 18:18:18, GET, /yabba/default/index, HTTP/1.1, 200, 0.018791
127.0.0.1, 2018-04-30 18:18:21, GET, /admin/default/site, HTTP/1.1, 200, 0.023265
127.0.0.1, 2018-04-30 18:18:23, GET, /yabba/default/index, HTTP/1.1, 200, 0.025408
127.0.0.1, 2018-04-30 18:18:30, GET, /yabba/default/delete/5, HTTP/1.1, 303, 0.025810
127.0.0.1, 2018-04-30 18:18:30, GET, /yabba/default/user/login, HTTP/1.1, 200, 0.024778
127.0.0.1, 2018-04-30 18:18:32, GET, /yabba/default/index, HTTP/1.1, 200, 0.024737
127.0.0.1, 2018-04-30 18:18:39, GET, /yabba/default/user, HTTP/1.1, 303, 0.017200
127.0.0.1, 2018-04-30 18:18:39, GET, /yabba/default/user/login, HTTP/1.1, 200, 0.025939
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.014513
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000697
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001538
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001729
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000857
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001997
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001375
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002078
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000901
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001510
127.0.0.1, 2018-04-30 18:18:56, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000569
127.0.0.1, 2018-04-30 18:18:58, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001394
127.0.0.1, 2018-04-30 18:18:58, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000642
127.0.0.1, 2018-04-30 18:18:58, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001278
127.0.0.1, 2018-04-30 18:22:27, POST, /yabba/default/user/login, HTTP/1.1, 200, 0.033549
127.0.0.1, 2018-04-30 18:22:52, POST, /yabba/default/user/login, HTTP/1.1, 200, 0.027945
127.0.0.1, 2018-04-30 18:23:07, POST, /yabba/default/user/login, HTTP/1.1, 200, 0.025814
127.0.0.1, 2018-04-30 18:23:20, GET, /yabba/default/user/register, HTTP/1.1, 200, 0.023192
127.0.0.1, 2018-04-30 18:23:53, POST, /yabba/default/user/register, HTTP/1.1, 200, 0.027274
127.0.0.1, 2018-04-30 18:24:09, POST, /yabba/default/user/register, HTTP/1.1, 200, 0.026391
127.0.0.1, 2018-04-30 18:24:20, POST, /yabba/default/user/register, HTTP/1.1, 200, 0.033181
127.0.0.1, 2018-04-30 18:24:43, GET, /yabba/default/user/register, HTTP/1.1, 200, 0.026930
127.0.0.1, 2018-04-30 18:25:03, POST, /yabba/default/user/register, HTTP/1.1, 303, 0.033160
127.0.0.1, 2018-04-30 18:25:03, GET, /yabba/default/index, HTTP/1.1, 200, 0.027110
127.0.0.1, 2018-04-30 18:25:11, GET, /yabba/default/user/profile, HTTP/1.1, 200, 0.026779
127.0.0.1, 2018-04-30 18:26:10, GET, /yabba/default/index, HTTP/1.1, 200, 0.024594
127.0.0.1, 2018-04-30 18:26:17, GET, /yabba/default/add, HTTP/1.1, 200, 0.030073
127.0.0.1, 2018-04-30 18:27:44, POST, /yabba/default/add, HTTP/1.1, 303, 0.020566
127.0.0.1, 2018-04-30 18:27:44, GET, /yabba/default/index, HTTP/1.1, 200, 0.023926
127.0.0.1, 2018-04-30 18:28:23, GET, /yabba/default/edit/17, HTTP/1.1, 200, 0.027082
